,0,1,2
177,US,West Virginia,"[0.232, 1.0, 513.9592171023588, 2378.3552147660275, 22.562299229893902, '2020-02-22', 40]"
178,US,Wisconsin,"[0.264, 1.0, 3730.900162002576, 16522.370177966124, 296.6070741457412, '2020-02-21', 41]"
179,US,Wyoming,"[0.21066666666666667, 1.0, 276.1329870560251, 1274.7745382958446, 15.028665521840445, '2020-02-19', 43]"
180,Germany,0,"[0.296, 1.0, 191157.0271385965, 764265.9988569301, 32077.7578511272, '2020-02-19', 43]"
181,Ghana,0,"[0.22133333333333333, 1.0, 451.70871095728944, 2032.539160033423, 19.999608196117588, '2020-02-21', 41]"
182,Greece,0,"[0.25333333333333335, 1.0, 3149.0154890180715, 13873.900219009183, 337.23882500299976, '2020-02-19', 43]"
183,Grenada,0,"[0.2, 1.0, 9.496858479694396, 77.5750858724919, 17.508747857098943, '2020-02-27', 35]"
184,Guatemala,0,"[0.21066666666666667, 1.0, 140.84491925058745, 645.2769613299939, 3.789004678272569, '2020-02-27', 35]"
185,Guinea,0,"[0.22133333333333333, 1.0, 193.54195663045462, 901.3538629195681, 12.39901253790663, '2020-02-26', 36]"
186,Guinea-Bissau,0,"[0.2, 1.0, 27.161512060009645, 148.81121983894437, 14.271754865631005, '2020-02-27', 35]"
187,Guyana,0,"[0.2, 1.0, 43.49131053855586, 232.25717010568297, 10.826573895500692, '2020-02-27', 35]"
188,Haiti,0,"[0.2, 1.0, 30.66958557302457, 175.8650575818593, 12.89121878527682, '2020-02-27', 35]"
189,Holy See,0,"[0.2, 1.0, 4.382204954766361, 54.64557790437964, 12.287044407000462, '2020-02-27', 35]"
190,Honduras,0,"[0.22133333333333333, 1.0, 400.5843423016833, 1834.1486347146154, 20.605719407110204, '2020-02-21', 41]"
191,Hungary,0,"[0.24266666666666667, 1.0, 1341.5117524593543, 5971.108028783851, 66.91286232593727, '2020-02-21', 41]"
192,Iceland,0,"[0.24266666666666667, 1.0, 2776.182593365438, 11806.601329316089, 293.6594200183232, '2020-02-19', 43]"
193,India,0,"[0.27466666666666667, 1.0, 6691.710419732406, 30497.053093160186, 217.71220035117634, '2020-02-19', 43]"
194,Indonesia,0,"[0.264, 1.0, 4014.9319256359977, 18275.596787029466, 300.70846574165694, '2020-02-19', 43]"
195,Iran,0,"[0.296, 1.0, 126668.74700488453, 510428.9352008174, 20147.486071223608, '2020-02-19', 43]"
196,Iraq,0,"[0.24266666666666667, 1.0, 1706.2333243972673, 7605.121922860334, 139.6609106620572, '2020-02-19', 43]"
197,Ireland,0,"[0.27466666666666667, 1.0, 8958.97414639857, 39407.256949873175, 602.1677325114522, '2020-02-19', 43]"
198,Israel,0,"[0.2853333333333333, 1.0, 12437.59618898717, 55939.08607345577, 1274.7420577514886, '2020-02-19', 43]"
199,Italy,0,"[0.296, 1.0, 294847.8990361252, 1172408.4322579352, 51261.25972408585, '2020-02-19', 20]"
200,Jamaica,0,"[0.2, 1.0, 106.61968723376835, 486.20565618143934, 6.70526378879885, '2020-02-26', 36]"
201,Japan,0,"[0.27466666666666667, 1.0, 7665.884401659202, 33216.10519652071, 659.5951255777372, '2020-02-21', 41]"
202,Jordan,0,"[0.22133333333333333, 1.0, 574.0611385459501, 2574.85476877606, 53.69520594475069, '2020-02-19', 43]"
203,Kazakhstan,0,"[0.232, 1.0, 894.8256494429207, 4044.8240811434803, 41.37816677873217, '2020-02-19', 43]"
204,Kenya,0,"[0.21066666666666667, 1.0, 212.92846460475877, 968.5769884494541, 11.44844059034894, '2020-02-23', 39]"
205,"Korea, South",0,"[0.2853333333333333, 1.0, 35978.653405097415, 148616.49124293527, 5686.669740402721, '2020-02-19', 43]"
206,Kosovo,0,"[0.21066666666666667, 1.0, 261.43173752634357, 1155.6086121126923, 15.178399517572961, '2020-02-21', 41]"
207,Kuwait,0,"[0.24266666666666667, 1.0, 1221.282508529784, 5500.514771704239, 63.75298668267756, '2020-02-21', 41]"
208,Kyrgyzstan,0,"[0.22133333333333333, 1.0, 319.83862697152966, 1459.1885260962947, 8.771812502280778, '2020-02-23', 39]"
209,Laos,0,"[0.2, 1.0, 9.56793178574254, 87.12257238170407, 17.146257708453266, '2020-02-27', 35]"
210,Latvia,0,"[0.232, 1.0, 852.3235458105574, 3887.6922992608265, 77.78613372286087, '2020-02-19', 43]"
211,Lebanon,0,"[0.232, 1.0, 1041.2864331665294, 4635.966761463879, 112.07949539757047, '2020-02-19', 43]"
212,Liberia,0,"[0.2, 1.0, 23.652330765094053, 146.14205893051252, 14.23108870431044, '2020-02-27', 35]"
213,Libya,0,"[0.2, 1.0, 17.58931817551314, 111.5680339378566, 15.997310151274405, '2020-02-27', 35]"
214,Liechtenstein,0,"[0.2, 1.0, 150.00453255126698, 676.7879635293277, 14.49587532006717, '2020-02-23', 39]"
