ID,COUNTRY,ISO,ADMIN_LEVEL_NAME,PCODE,REGION,LOG_TYPE,CATEGORY,MEASURE,TARGETED_POP_GROUP,NON_COMPLIANCE,DATE_IMPLEMENTED
2895,Saint Kitts and Nevis,KNA,,,Americas,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,Yes,Not applicable,25/03/2020
2897,Saint Kitts and Nevis,KNA,,,Americas,Introduction / extension of measures,Movement restrictions,Border closure,No,Refusal to enter the country,25/03/2020
3759,Saint Lucia,LCA,,,Americas,Introduction / extension of measures,Public health measures,Strengthening the public health system,Yes,Not applicable,23/01/2020
3781,Saint Lucia,LCA,,,Americas,Introduction / extension of measures,Public health measures,Strengthening the public health system,Yes,Not applicable,31/01/2020
239,Saint Lucia,LCA,,,Americas,Introduction / extension of measures,Movement restrictions,Visa restrictions,Yes,Refusal to enter the country,04/02/2020
3774,Saint Lucia,LCA,,,Americas,Introduction / extension of measures,Movement restrictions,Visa restrictions,Yes,Refusal to enter the country,04/02/2020
3765,Saint Lucia,LCA,,,Americas,Introduction / extension of measures,Public health measures,Strengthening the public health system,Yes,Not applicable,07/02/2020
3760,Saint Lucia,LCA,,,Americas,Introduction / extension of measures,Public health measures,Introduction of isolation and quarantine policies,Yes,Not applicable,22/02/2020
3766,Saint Lucia,LCA,,,Americas,Introduction / extension of measures,Public health measures,Introduction of isolation and quarantine policies,Yes,Not applicable,25/02/2020
3773,Saint Lucia,LCA,,,Americas,Introduction / extension of measures,Public health measures,General recommendations,No,Not applicable,28/02/2020
3761,Saint Lucia,LCA,,,Americas,Introduction / extension of measures,Governance and socio-economic measures,Emergency administrative structures activated or established,Yes,Not applicable,01/03/2020
3780,Saint Lucia,LCA,,,Americas,Introduction / extension of measures,Governance and socio-economic measures,Emergency administrative structures activated or established,No,Not applicable,03/03/2020
3763,Saint Lucia,LCA,,,Americas,Introduction / extension of measures,Public health measures,Strengthening the public health system,Yes,Not applicable,09/03/2020
3762,Saint Lucia,LCA,,,Americas,Introduction / extension of measures,Public health measures,Strengthening the public health system,Yes,Not applicable,11/03/2020
3775,Saint Lucia,LCA,,,Americas,Introduction / extension of measures,Public health measures,Awareness campaigns,Yes,Not applicable,13/03/2020
3754,Saint Lucia,LCA,,,Americas,Introduction / extension of measures,Movement restrictions,Visa restrictions,Yes,Refusal to enter the country,18/03/2020
3755,Saint Lucia,LCA,,,Americas,Introduction / extension of measures,Movement restrictions,Surveillance and monitoring,No,Not available,18/03/2020
3767,Saint Lucia,LCA,,,Americas,Introduction / extension of measures,Governance and socio-economic measures,Emergency administrative structures activated or established,No,Not applicable,19/03/2020
3769,Saint Lucia,LCA,,,Americas,Introduction / extension of measures,Social distancing,Limit public gatherings,No,Not available,20/03/2020
3756,Saint Lucia,LCA,,,Americas,Introduction / extension of measures,Governance and socio-economic measures,Emergency administrative structures activated or established,Yes,Not applicable,23/03/2020
3757,Saint Lucia,LCA,,,Americas,Introduction / extension of measures,Lockdown,Partial lockdown,Yes,Not applicable,23/03/2020
3758,Saint Lucia,LCA,,,Americas,Introduction / extension of measures,Movement restrictions,Border closure,No,Refusal to enter the country,23/03/2020
3764,Saint Lucia,LCA,,,Americas,Introduction / extension of measures,Social distancing,Public services closure,Yes,Not applicable,23/03/2020
3771,Saint Lucia,LCA,,,Americas,Introduction / extension of measures,Public health measures,Strengthening the public health system,No,Not applicable,23/03/2020
3776,Saint Lucia,LCA,,,Americas,Introduction / extension of measures,Social distancing,Public services closure,Yes,Not applicable,23/03/2020
3777,Saint Lucia,LCA,,,Americas,Introduction / extension of measures,Movement restrictions,Border closure,No,Not applicable,23/03/2020
3778,Saint Lucia,LCA,,,Americas,Introduction / extension of measures,Movement restrictions,Curfews,No,Not available,30/03/2020
3779,Saint Lucia,LCA,,,Americas,Introduction / extension of measures,Lockdown,Partial lockdown,No,Not available,30/03/2020
3768,Saint Lucia,LCA,,,Americas,Introduction / extension of measures,Public health measures,Strengthening the public health system,Yes,Not applicable,31/03/2020
3772,Saint Lucia,LCA,,,Americas,Introduction / extension of measures,Public health measures,Strengthening the public health system,Yes,Not applicable,31/03/2020
3770,Saint Lucia,LCA,,,Americas,Introduction / extension of measures,Social distancing,Public services closure,Yes,Not applicable,02/04/2020
238,Saint Lucia,LCA,,,Americas,Introduction / extension of measures,Public health measures,Introduction of isolation and quarantine policies,Yes,Not applicable,
3795,Saint Vincent and the Grenadines,VCT,,,Americas,Introduction / extension of measures,Public health measures,Introduction of isolation and quarantine policies,Yes,Refusal to enter the country,21/02/2020
