,Country Code,Country Name,Population,Density,,,,Country/Region,,,
234,TLA,Latin America & the Caribbean (IDA & IBRD countries),625569713,31.41414444,,,,,,,
235,TLS,Timor-Leste,1267972,85.27047747,,,,,,,
236,TMN,Middle East & North Africa (IDA & IBRD countries),378327628,43.81292975,,,,,,,
237,TON,Tonga,103197,143.3291667,,,,,,,
238,TSA,South Asia (IDA & IBRD),1814388744,380.2471337,,,,,,,
239,TSS,Sub-Saharan Africa (IDA & IBRD countries),1078306520,50.76208431,,,,,,,
240,TTO,Trinidad and Tobago,1389858,270.9274854,,,,,,,
241,TUN,Tunisia,11565204,74.44132338,,,,,,,
242,TUR,Turkey,82319724,106.9601289,,,,,,,
243,TUV,Tuvalu,11508,383.6,,,,,,,
244,TZA,Tanzania,56318348,63.5790788,,,,,,,
245,UGA,Uganda,42723139,213.0617345,,,,,,,
246,UKR,Ukraine,44622516,77.02966735,,,,,,,
247,UMC,Upper middle income,2655635719,45.46917663,,,,,,,
248,URY,Uruguay,3449299,19.70802765,,,,,,,
249,USA,US,327167434,35.76608858,,,,,,,
250,UZB,Uzbekistan,32955400,77.46920545,,,,,,,
251,VCT,St. Vincent and the Grenadines,110210,282.5897436,,,,,,,
252,VEN,"Venezuela, RB",28870195,32.73079191,,,,,,,
253,VGB,British Virgin Islands,29802,198.68,,,,,,,
254,VIR,Virgin Islands (U.S.),106977,305.6485714,,,,,,,
255,VNM,Vietnam,95540395,308.1252459,,,,,,,
256,VUT,Vanuatu,292680,24.00984413,,,,,,,
257,WLD,World,7594270356,59.63623626,,,,,,,
258,WSM,Samoa,196130,69.30388693,,,,,,,
259,XKX,Kosovo,1845300,,,,,,,,
260,YEM,"Yemen, Rep.",28498687,53.97785291,,,,,,,
261,ZAF,South Africa,57779622,47.63011978,,,,,,,
262,ZMB,Zambia,17351822,23.3414789,,,,,,,
263,ZWE,Zimbabwe,14439018,37.32459093,,,,,,,
